timestamp,B1,B2,D1,D2,F1,F2,H1,H2
2022/10/26-15:58:30,1036.698486,1309.652344,1053.759277,952.9108887,983.0427246,931.3330688,875.4091797,843.0050049
2022/10/26-15:59:00,1035.933228,1311.212036,1055.04895,953.9555664,985.1931152,929.7290039,879.0136108,841.1879272
2022/10/26-15:59:30,1034.556274,1314.172119,1054.49939,956.302124,986.8430786,926.1889038,881.1692505,836.8366089
2022/10/26-16:00:00,1034.330322,1317.290161,1052.681519,949.7630615,988.5135498,914.7470703,881.6238403,848.4039307
2022/10/26-16:00:30,1035.126465,1318.921997,1051.381714,945.4007568,989.9481201,911.7889404,881.7372437,872.8948364
2022/10/26-16:01:00,1038.919312,1320.528198,1052.72998,946.8366699,992.118042,915.0489502,881.2532349,884.9164429
2022/10/26-16:01:30,1041.265991,1320.847168,1052.527466,950.8605957,993.7138062,916.2213135,879.7809448,882.9879761
2022/10/26-16:02:00,1041.633667,1319.592041,1053.089722,948.2734375,994.8181763,924.2058105,880.8685913,869.1506958
2022/10/26-16:02:30,1042.442749,1319.237793,1053.838623,944.9200439,994.2719727,932.1135254,882.5886841,838.220459
2022/10/26-16:03:00,1043.112549,1317.128418,1054.115723,942.1558838,995.9623413,938.5411377,883.2487793,831.1158447
2022/10/26-16:03:30,1043.431274,1316.348389,1051.1427,923.5335693,996.2542114,947.5096436,885.2360229,822.0447998
2022/10/26-16:04:00,1043.724731,1315.844849,1050.809448,917.2512207,995.4016724,949.5864258,884.2723999,815.7318115
2022/10/26-16:04:30,1042.394775,1313.552856,1047.718994,922.8128052,994.4953003,946.7971191,884.4716187,813.503418
2022/10/26-16:05:00,1043.033203,1312.74646,1046.670898,927.3659058,993.2172241,922.9820557,883.0761108,797.0723877
2022/10/26-16:05:30,1044.281616,1311.298462,1045.670898,927.6599121,994.5083008,907.829895,881.4122314,788.2252808
2022/10/26-16:06:00,1044.025513,1309.288208,1044.795288,920.3872681,991.0056152,906.4136353,878.0592041,797.2028809
2022/10/26-16:06:30,1044.113159,1308.361938,1043.310669,904.5890503,987.9949951,907.8933105,876.5953979,798.0948486
2022/10/26-16:07:00,1042.696533,1309.793091,1043.193359,897.9776001,985.4998779,907.1873779,875.2333374,799.9530029
2022/10/26-16:07:30,1038.708862,1308.517578,1042.155151,897.9500732,983.9989624,905.5765991,872.7976685,804.3121338
2022/10/26-16:08:00,1041.190918,1310.385254,1043.472534,898.8248901,983.8809204,901.8894653,870.703186,805.2009888
2022/10/26-16:08:30,1040.718506,1312.159668,1044.136719,905.0640259,982.7474976,900.2012939,869.2767334,805.1845093
2022/10/26-16:09:00,1043.511841,1316.045532,1043.109985,903.9942017,981.288147,896.6068115,868.0023804,803.9914551
2022/10/26-16:09:30,1045.717163,1318.675781,1042.314331,910.0541992,979.4176636,891.7331543,867.9303589,808.5551758
2022/10/26-16:10:00,1047.074707,1320.676758,1043.412964,914.0930176,980.1560059,887.4996338,867.6690674,809.2003784
2022/10/26-16:10:30,1046.688232,1323.783081,1044.178467,915.8041992,981.5479736,884.7734985,867.3465576,818.4862671
2022/10/26-16:11:00,1045.407104,1338.643433,1045.866577,915.7646484,984.5733032,880.6624146,866.2637939,822.4237671
2022/10/26-16:11:30,1045.994507,1347.489258,1048.248413,924.3052979,988.0125122,881.3475952,867.0042725,827.2116089
2022/10/26-16:12:00,1044.999756,1350.15625,1047.559082,932.420166,991.041748,885.8672485,863.3508301,830.9170532
2022/10/26-16:12:30,1044.963501,1354.922607,1049.103027,928.9088135,990.9050293,888.991394,861.4891357,840.159729
2022/10/26-16:13:00,1044.914307,1357.771606,1051.7677,927.6057739,991.5090332,887.7941895,864.7044067,848.9672852
2022/10/26-16:13:30,1043.188599,1359.496094,1052.422485,930.7967529,993.0683594,885.8712769,865.8327637,842.6508179
2022/10/26-16:14:00,1044.106323,1358.294189,1054.539307,932.5533447,994.8893433,887.1658325,870.6234741,841.8204956
2022/10/26-16:14:30,1045.901001,1357.356689,1056.25769,932.7733154,996.7769165,889.7891846,873.1116943,839.1735229
2022/10/26-16:15:00,1048.096069,1355.59082,1058.360718,931.3352051,996.8480225,893.1207275,873.2180176,835.06073
2022/10/26-16:15:30,1049.890381,1356.389404,1059.250366,926.371521,998.8856812,895.947876,874.1463013,833.2050171
2022/10/26-16:16:00,1051.104004,1357.62793,1059.783569,927.4017944,998.2488403,903.7973022,875.6557007,833.055603
2022/10/26-16:16:30,1052.773193,1357.352173,1062.921143,925.4559937,996.8416138,906.206604,879.5323486,835.1619873
2022/10/26-16:17:00,1052.120483,1360.130249,1064.377319,918.4356689,997.7127075,906.7734375,882.335144,836.9502563
2022/10/26-16:17:30,1053.624512,1363.530273,1063.796265,904.0784912,996.901123,904.2436523,882.4547119,832.6032715
2022/10/26-16:18:00,1053.142212,1363.485107,1060.614136,898.5227661,996.2788086,903.7678833,883.7231445,829.6903687
2022/10/26-16:18:30,1053.578003,1363.900879,1059.571655,902.0755615,995.7830811,902.4752808,883.6313477,819.5558472
2022/10/26-16:19:00,1050.744751,1362.662231,1058.671509,903.425415,995.1029053,902.9885254,882.9398193,810.5031738
2022/10/26-16:19:30,1046.78125,1361.448486,1053.557373,884.7806396,994.4063721,902.7980347,881.7631226,793.6626587
2022/10/26-16:20:00,1041.69519,1356.682129,1050.649048,900.982666,992.7619019,903.2842407,882.0420532,785.9284668
2022/10/26-16:20:30,1042.956787,1350.432495,1049.338501,900.0806885,988.038147,899.7116699,877.9580688,786.5629883
2022/10/26-16:21:00,1044.453613,1346.275146,1049.709839,898.3606567,984.9104004,899.241272,875.4518433,788.2283325
2022/10/26-16:21:30,1043.267456,1340.751953,1050.515381,894.5200195,982.4269409,898.4085693,873.8931274,792.4606323
2022/10/26-16:22:00,1044.250488,1336.473267,1047.457764,896.2129517,979.4920044,896.2268677,872.7146606,801.4616699
2022/10/26-16:22:30,1046.209229,1333.883423,1044.826538,894.305603,977.9628906,896.0699463,873.0358276,797.9362793
2022/10/26-16:23:00,1046.341553,1336.272705,1044.042114,897.6782837,977.7011719,898.0276489,872.3806152,805.0125732
2022/10/26-16:23:30,1045.71936,1335.200562,1043.006348,901.8131714,976.9227905,901.6068726,871.7202759,810.211792
2022/10/26-16:24:00,1043.159058,1333.94397,1042.442017,901.3226929,976.2444458,904.3655396,869.8608398,816.5640869
2022/10/26-16:24:30,1041.122437,1331.643066,1043.445801,905.0770264,976.3009644,910.1991577,870.4917603,822.6427002
2022/10/26-16:25:00,1039.23938,1327.700684,1044.683472,906.7579346,979.0282593,911.8135986,872.1206665,828.1054077
2022/10/26-16:25:30,1037.615479,1325.256958,1046.094971,908.9308472,982.3501587,910.2915039,871.2496338,833.022583
2022/10/26-16:26:00,1038.845459,1324.949341,1048.906494,914.375061,981.5230103,910.7411499,871.2729492,832.5894775
2022/10/26-16:26:30,1035.546387,1320.124756,1051.35083,931.887085,983.4100952,913.4004517,871.2042236,837.5599976
2022/10/26-16:27:00,1033.324707,1318.226074,1053.348755,950.956543,987.6963501,917.4048462,872.1135864,841.7443237
2022/10/26-16:27:30,1032.000122,1314.59729,1056.465088,938.3493652,989.788208,920.6903687,873.102356,842.3882446
2022/10/26-16:28:00,1028.554443,1313.309692,1058.567627,931.6724854,990.6654053,922.1065674,872.7146606,847.2028198
2022/10/26-16:28:30,1028.77417,1310.976074,1062.124268,935.2686768,991.7189331,918.9712524,873.9312134,846.7619629
2022/10/26-16:29:00,1028.389893,1309.39917,1065.180542,938.3287354,995.0197144,914.7716064,874.0648193,844.2011719
2022/10/26-16:29:30,1027.546143,1308.213501,1071.613647,937.6904297,996.2797852,910.9554443,871.3525391,844.9396973
2022/10/26-16:30:00,1027.281982,1306.857422,1071.14917,936.5144043,998.1557617,912.8170166,876.4400635,841.4996948
2022/10/26-16:30:30,1027.997925,1304.532837,1069.911133,935.7114258,1001.379028,914.324707,879.9831543,837.4525757
2022/10/26-16:31:00,1030.201538,1305.785889,1070.475342,931.5812988,1000.537109,916.6799316,881.5136108,835.9023438
2022/10/26-16:31:30,1035.077026,1306.364258,1071.677368,900.151062,998.4679565,915.8221436,882.8782959,834.8520508
2022/10/26-16:32:00,1038.123047,1307.61853,1073.890015,896.1572266,997.9891357,913.0283813,882.3893433,836.362793
2022/10/26-16:32:30,1039.97937,1309.809692,1073.320801,892.237854,996.0425415,911.1431274,882.6416626,835.9199829
2022/10/26-16:33:00,1040.009155,1309.454468,1071.988281,891.8213501,995.7037354,909.3807983,882.0985107,833.3100586
2022/10/26-16:33:30,1040.292114,1310.37207,1070.592529,889.09198,994.2761841,909.8163452,881.215332,830.6005249
2022/10/26-16:34:00,1039.545898,1308.983032,1067.641602,891.7357788,989.3878784,909.0814819,882.5256348,828.3394165
2022/10/26-16:34:30,1039.563599,1309.568848,1065.169067,902.9568481,986.2610474,906.8668823,881.3624878,824.4351807
